,Unnamed: 0,blue_1_summoner_level,blue_2_summoner_level,blue_3_summoner_level,blue_4_summoner_level,blue_5_summoner_level,blue_kurtosis_summonerlevel,blue_coefficient_of_skewness_summonerlevel,blue_mean_summonerlevel,blue_variance_summonerlevel,blue_std_summonerlevel,blue_median_summonerlevel,blue_1_champ_points,blue_2_champ_points,blue_3_champ_points,blue_4_champ_points,blue_5_champ_points,blue_kurtosis_champpoints,blue_coefficient_of_skewness_champpoints,blue_mean_champpoints,blue_variance_champpoints,blue_std_champpoints,blue_median_champpoints,kills_1,kills_2,kills_3,kills_4,kills_5,damage1,damage2,damage3,damage4,damage5,assist1,assist2,assist3,assist4,assist5,red_1_summoner_level,red_2_summoner_level,red_3_summoner_level,red_4_summoner_level,red_5_summoner_level,red_kurtosis_summonerlevel,red_coefficient_of_skewness_summonerlevel,red_mean_summonerlevel,red_variance_summonerlevel,red_std_summonerlevel,red_median_summonerlevel,red_1_champ_points,red_2_champ_points,red_3_champ_points,red_4_champ_points,red_5_champ_points,red_kurtosis_champpoints,red_coefficient_of_skewness_champpoints,red_mean_champpoints,red_variance_champpoints,red_std_champpoints,red_median_champpoints,kills_1.1,kills_2.1,kills_3.1,kills_4.1,kills_5.1,damage1.1,damage2.1,damage3.1,damage4.1,damage5.1,assist1.1,assist2.1,assist3.1,assist4.1,assist5.1,blue_team_won?
0,0,292,360,131,48,77,-2.34381879003243,0.5421045839366985,181.6,18841.3,137.2636149895521,131,29154,43298,962,5088,10328,-1.281235240202104,0.7953239050586599,17766.0,319999878.0,17888.54040999433,17888.54040999433,20,14,11,4,4,46192,31106,24131,15648,23457,21,24,20,31,21,81,70,169,152,113,-2.46086428539255,0.17075283814956102,117.0,1862.5,43.15669125408017,113,4836,6373,1426,39689,17048,2.173994243308448,1.562200254694373,13874.4,242347912.3,15567.52749475651,15567.52749475651,14,13,7,19,7,35483,27419,21560,34522,12490,29,31,23,31,28,0
1,1,76,39,151,76,71,3.036101938675914,1.396562744839273,82.6,1700.3,41.23469413006479,76,10511,11320,19243,44277,15355,3.750564232589809,1.904511584513501,20141.2,194201409.2,13935.61657050021,13935.61657050021,2,3,2,9,1,5709,2355,9482,18666,4567,1,2,4,2,10,66,48,33,132,67,2.685476843581041,1.469566873252874,69.2,1429.7,37.81137395017537,66,28386,1029,4018,215099,267001,-2.758322513741173,0.6710190618301012,103106.6,16306306786.3,127696.1502407179,127696.1502407179,2,0,0,0,0,6982,2721,4974,3166,9720,0,0,0,0,1,1
2,2,114,116,165,114,95,3.403979829186145,1.595097337829195,120.8,683.7,26.14765763887848,114,4892,20492,605,86427,10452,4.107453197998511,1.9999131679934532,24573.6,1250945325.3,35368.70545128843,35368.70545128843,5,7,5,2,5,8395,18075,16125,8415,8587,1,9,5,7,11,151,391,40,90,38,3.022451248445559,1.732863808269879,142.0,21501.5,146.6338978544866,90,24670,140505,199126,70684,45257,-1.152812029859581,0.7403842467218488,96048.4,5229843998.3,72317.6603486313,72317.6603486313,6,6,5,6,5,15359,12130,18788,16505,6509,2,4,6,7,6,0
3,3,46,263,151,136,116,1.822209793067282,0.7236827257173458,142.4,6162.299999999999,78.50031847069157,136,3286,8974,39689,2293,494501,4.896391490343641,2.208608409928876,109748.6,46494817008.3,215626.5684193393,215626.5684193393,5,4,8,10,11,16241,11942,13058,14921,23849,6,6,5,4,9,346,103,43,43,55,4.235343968252023,2.047557050647949,118.0,16857.0,129.8345100502944,55,3104,3289,5039,57355,1408,4.943884267828009,2.22038063619966,14039.0,587988685.5,24248.47800378407,24248.47800378407,4,5,3,0,1,16709,12385,10962,9314,5811,2,3,2,3,4,1
4,4,117,155,110,310,29,2.200738578848766,1.118623826163196,144.2,10696.7,103.4248519457485,117,51456,102828,648,50586,8727,-0.15830899366007858,0.623148949030875,42849.0,1669164336.0,40855.40767144541,40855.40767144541,4,2,0,0,0,11599,3852,5934,1892,1600,0,1,1,0,0,16,107,228,151,169,0.7884867597950258,-0.6739534262087247,134.2,6250.700000000001,79.06136856897938,151,631,195456,2355,39689,91127,1.10317166036155,1.275388161446975,65851.6,6601543214.800001,81249.88132175949,81249.88132175949,0,2,2,9,0,5036,7164,5867,8956,2964,3,4,0,0,7,0
5,5,37,30,146,40,38,4.886981181744726,2.202757064166577,58.2,2423.2,49.22600938528331,38,3994,22815,10609,48777,2581,1.571697537847239,1.407224797380999,17755.2,364662199.2,19096.13047714117,19096.13047714117,13,13,9,3,3,33308,21378,24877,11965,13531,7,7,16,6,18,89,41,42,151,169,-2.780473270376826,0.24924985131844402,98.4,3578.8,59.8230724720822,89,308,2014,16151,24670,91127,3.566519175392024,1.845191332563427,26854.0,1393014577.5,37323.11050140382,37323.11050140382,2,9,4,7,3,19797,24117,15821,18786,8354,1,6,9,7,15,1
6,6,35,45,151,57,76,2.901749315974786,1.673599533278846,72.8,2144.2,46.30550723186174,57,34274,16206,39689,78487,29798,2.81941307401766,1.447352449784313,39690.8,545972545.7,23366.05541592333,23366.05541592333,3,5,5,1,1,17555,18385,30183,10876,20419,4,4,4,2,6,72,110,115,41,146,-0.7415101748215269,-0.3780471350965083,96.8,1663.7,40.788478765455324,110,15424,77502,29707,22315,4060,3.053674286308484,1.621466140453752,29801.6,800182910.3,28287.50449049898,28287.50449049898,12,4,10,9,3,37085,14104,23538,13016,7007,11,14,9,3,9,0
7,7,89,37,50,111,71,-1.294415524907214,0.23840325923905378,71.6,879.8,29.66142275751452,71,3152,280,16578,9924,121123,4.694528799797039,2.152589987677708,30211.4,2622616760.8,51211.49051531307,51211.49051531307,7,4,4,4,1,19488,9862,15922,14308,10465,0,2,6,6,10,30,33,151,40,43,4.795715123276176,2.178776421353372,59.4,2649.3,51.47135125484855,40,49944,70152,39689,38822,4351,1.6153805381757191,-0.6422037720591058,40591.6,569652973.3,23867.40399163679,23867.40399163679,13,2,4,7,2,27205,14142,17383,17154,2675,2,6,8,5,4,0
8,8,63,59,128,151,168,-2.857754372285663,-0.2693432212947136,113.8,2526.7,50.26629089161045,128,6733,2444,12251,47672,1041,3.967627681121407,1.9649218827676451,14028.2,372786178.7,19307.67149865566,19307.67149865566,2,5,22,3,3,4053,18116,23818,19190,11698,3,24,9,28,28,49,307,191,67,247,-2.366705455556523,-0.04706804785270104,172.2,12591.2,112.2105164411964,191,5397,110572,8136,31928,2488,3.612890039668304,1.907278095216625,31704.2,2080323782.2,45610.56656302353,45610.56656302353,3,1,8,3,5,11835,7365,23143,13001,17237,6,4,5,5,7,1
9,9,98,110,75,150,168,-1.822281269753383,0.23565616851634488,120.2,1453.2,38.12086043100287,110,280296,215515,26343,315486,280521,3.073733951890587,-1.743029868607125,223632.2,13468289935.7,116052.9617704779,116052.9617704779,10,6,3,7,3,29213,17609,13412,17347,15409,0,6,2,5,12,170,52,49,95,130,-1.5095974166855939,0.4571916052078464,99.2,2681.7,51.78513300166371,95,2232,30818,31662,8272,11005,-2.871366656590348,0.35658070739839404,16797.8,183979694.2,13563.91146388091,13563.91146388091,7,10,19,3,1,18283,21289,47093,13305,13112,3,3,5,9,3,0
10,10,320,34,42,86,113,3.510621109237546,1.8284738134639031,119.0,13670.0,116.9187752245122,86,7277,5213,5922,68874,165635,1.838595357583007,1.548891483166499,50584.2,4874993708.7,69821.15516589509,69821.15516589509,2,8,7,6,6,6615,9867,11405,9559,14798,3,2,5,6,11,87,40,24,150,168,-2.66603854155677,0.1417168491935158,93.8,4119.2,64.1809940714539,87,232,83367,54958,24670,37011,-0.0485206197762027,0.2411598395051281,40047.6,982465992.3,31344.31355605032,31344.31355605032,0,3,3,2,1,4611,7266,5426,5121,3516,1,3,1,3,4,1
11,11,53,47,153,99,34,0.2500356318420618,1.14930404633425,77.2,2396.2,48.95099590406716,53,40439,3685,23771,3877,11240,-0.03230359822237272,1.041308243573684,16602.4,244280671.8,15629.480855102,15629.480855102,0,9,13,0,4,8229,13545,27132,3283,19638,2,5,6,4,11,95,76,91,150,168,-2.461880899983836,0.5755374653442711,116.0,1631.5,40.39183085724142,95,80847,4579,19644,43121,91127,-2.470702076512048,0.10342737932176979,47863.6,1413005282.8,37589.96252724921,37589.96252724921,3,4,2,7,1,16746,8795,6888,14342,7560,2,4,2,5,9,1
12,12,155,406,92,134,109,4.321384238074522,2.046252617791745,179.2,16649.7,129.0337165240155,134,54908,42375,17352,20090,535230,4.902978538568695,2.209213939118338,133991.0,50554610397.0,224843.5242496434,224843.5242496434,13,12,8,9,3,40304,21500,17998,14842,18472,9,15,7,6,13,82,166,150,377,102,3.415819562693548,1.7765560979876072,175.4,13871.8,117.7786058671098,150,35291,5210,19243,127035,42425,3.343984756251157,1.7283686527968962,45840.8,2268442239.2,47628.16644801687,47628.16644801687,6,14,9,12,8,23665,55717,14703,35813,20535,4,19,6,16,8,0
